Lead Investigator Name,Lead Investigator Organization Name
"Pleshet,Noah O",Bur of Applied Rsch in Anthro
"Hopkins,Maren P",Bur of Applied Rsch in Anthro
"Bernstein,Harris",Cellular & Molecular Medicine
"Brusseau,Mark L",Environmental Science-Res
"Burd,Randy M",Nutritional Sci Wellness - RES
"Cranmer,Lee Duncan",Cancer Center Division
"Dereniak,Eustace L",James C Wyant Coll Optical Sci
"Djordjevic,Ivan B",Electrical and Computer Engr
"Sorooshian,Armin",Chemical & Environmental Engr
"Fasel,Hermann F",Aerospace & Mechanical Engr
"Galbraith,David W",BIO5 Institute
"Shaked,Moshe",Mathematics
"Gervasio,Dominic F",Chemical & Environmental Engr
"Thakur,Dinesh S",Mathematics
"Goodman,Nathan A",Electrical and Computer Engr
"Futscher,Bernard W",Cancer Center Division
"Khitrova,Galina",James C Wyant Coll Optical Sci
"Kobourov,Stephen G",Computer Science
"Tyo,J Scott",James C Wyant Coll Optical Sci
"Lysecky,Roman L",Electrical and Computer Engr
"Maier,Robert S",Mathematics
"Momayez,Moe",Mining & Geological Engr
"Kundu,Tribikram",Civil Arch Engr and Mechanics
"Polynkin,Pavel G",James C Wyant Coll Optical Sci
"Peyghambarian,Nasser N",James C Wyant Coll Optical Sci
"Ramasubramanian,Srinivasa",Electrical and Computer Engr
"Ridgdill,Penny C",Mathematics
"Ritchie,Elizabeth A",Institute Atmospheric Physics
"Restifo,Linda L",Neuroscience
"Sandhu,Arvinder",Physics
"Sanfelice,Ricardo G",Aerospace & Mechanical Engr
"Zarnescu,Daniela C",Molecular and Cellular Biology
"Villarreal,Miguel L",Sch of Nat Resource&Enviro-Res
"Zhang,Lianyang",Chemical & Environmental Engr
"Zohar,Yitshak",Aerospace & Mechanical Engr
"Enikov,Eniko T",Aerospace & Mechanical Engr
"Pau,Stanley K H",James C Wyant Coll Optical Sci
"Malusa,James R",Sch of Nat Resource&Enviro-Res
"Krunz,Marwan M",Electrical and Computer Engr
"Missoum,Samy",Aerospace & Mechanical Engr
"Dettman,David L",Geosciences
"Kolesik,Miroslav",James C Wyant Coll Optical Sci
"Hariri,Salim A",Electrical and Computer Engr
"Chen,Hsinchun",Management Information Systems
"Duan,Jennifer Guohong",Civil Arch Engr and Mechanics
"Neifeld,Mark A",Electrical and Computer Engr
"Fehmi,Jeffrey S",Sch of Nat Resource&Enviro-Res
"Castro,Christopher L",Institute Atmospheric Physics
"Cohen,Paul R",Sch of Info: Sci Tech & Arts
"Call,Robert E",Cochise County Office
"Schroeder,Joyce A",Molecular and Cellular Biology
"Dontsova,Katerina M",Biosphere 2
"Sagarin,Raphael D",AZ Inst for Resilience
"Woodard,Gary C",Hydrology and Water Resources
"Goode,Matthew J",Sch of Nat Resource&Enviro-Res
"Hameroff,Stuart R",Anesthesiology
"Powers,Linda S",Electrical and Computer Engr
"Peterson,Robert L",Steward Observatory
"Moloney,Jerome V",Mathematics
"Barton,Jennifer K",Biomedical Engineering
"Field,James A",Chemical & Environmental Engr
"Hutchinson,Charles F",Sch of Nat Resource&Enviro-Res
"Beal,Carole R",Sch of Info: Sci Tech & Arts
"Debray,Saumya K",Computer Science
"Heimark,Ronald L",Cancer Center Division
"Carothers,Daniel N",James C Wyant Coll Optical Sci
"Meystre,Pierre",James C Wyant Coll Optical Sci
"Jessup,Leonard Michael",Eller Administration
"Algotar,Amit M",Cancer Center Division
"Romagnolo,Donato",Nutritional Sci Wellness - RES
"Valerdi,Ricardo",Systems and Industrial Engr
"Handa,Robert J",COM Phx Basic Medical Sci
"Lang,Julie E",Cancer Center Division
"Moloney,Jerome V",James C Wyant Coll Optical Sci
"Little,Jesse C",Aerospace & Mechanical Engr
"Cais,Bryden R",Mathematics
"Pagel,Mark D",Biomedical Engineering
"Romanowski,Marek",Biomedical Engineering
"Brown,Paul W",Environmental Science-Ext
"Matsunaga,Terry O",Medical Imaging
"Melde,Kathleen L",Electrical and Computer Engr
"Zhang,Hao",Mathematics
"Merkle,Carolyn J",College of Nursing
"Wung,Shu Fen",College of Nursing
"Chipman,Russell A",James C Wyant Coll Optical Sci
"Corral,Erica L",Materials Science & Engr
"Milster,Thomas D",James C Wyant Coll Optical Sci
"Madenci,Erdogan",Aerospace & Mechanical Engr
"Jones,Ronald J",James C Wyant Coll Optical Sci
"Wissinger,John W",James C Wyant Coll Optical Sci
"LeRoy,Brian J",Physics
"Hu,Yi",Mathematics
"Tiep,Pham Huu",Mathematics
"Sharifi,Romyar T",Mathematics
"Tome,Margaret E",Pathology and Lab Medicine
"Loy,Douglas A",Materials Science & Engr
"Smith,Catharine L",Pharmacology and Toxicology
"Landowski,Terry H",Cancer Center Division
"Selmin,Ornella",Nutritional Sci Wellness - RES
"Myrdal,Paul B",Pharmacy Practice and Science
"Xin,Hao",Electrical and Computer Engr
"Zenhausern,Frederic",COM Phx NanoBioscience & Med
"Kudenov,Michael W",James C Wyant Coll Optical Sci
"Rasmussen,Craig",Environmental Science-Res
"Zhang,Lianyang",Civil Arch Engr and Mechanics
"Teske,Jennifer A",Nutritional Sci Wellness - RES
"Gehm,Michael E",Electrical and Computer Engr
"Son,Young-Jun",Systems and Industrial Engr
"Gallery,Rachel Elizabeth",Sch of Nat Resource&Enviro-Res
"Koch,Thomas L",James C Wyant Coll Optical Sci
